Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity
68,18,Female,3rd Year,5,9.9,3.2,3,24
69,21,Other,1st Year,5.5,5.2,2.8,4,99
70,23,Male,2nd Year,8.5,3,1.6,5,59
71,19,Male,3rd Year,4.1,7.4,2.1,2,89
72,19,Male,4th Year,4.4,8.5,3.4,1,101
73,18,Male,2nd Year,5,2,2.7,3,64
74,19,Other,3rd Year,4.1,2,1,2,83
75,22,Female,3rd Year,4.9,0.4,3.3,4,118
76,19,Male,4th Year,6.9,8.8,1.1,0,27
77,21,Female,1st Year,6.1,8,3.2,4,15
78,21,Other,1st Year,8.5,5.7,1.6,5,46
79,24,Other,2nd Year,8.1,10.1,3.9,1,80
80,21,Other,4th Year,5.7,9.7,2.1,5,103
81,24,Male,1st Year,5.3,7,2,3,91
82,21,Female,4th Year,5.9,10.4,1.4,3,57
83,22,Female,1st Year,7,2.5,1.9,1,75
84,25,Female,3rd Year,5.3,1.3,3.6,2,26
85,24,Other,1st Year,7.1,3.2,4,2,117
86,20,Male,4th Year,6,0.7,2.1,3,52
87,23,Other,3rd Year,6.8,6.4,2.3,3,41
88,18,Other,3rd Year,6.2,11.2,3.2,0,58
89,21,Female,3rd Year,5.5,0.5,3.7,2,46
90,19,Other,4th Year,8.7,1.5,2.8,1,93
91,25,Female,2nd Year,7.8,5.4,2.2,2,104
92,21,Male,2nd Year,4.7,11.2,2.2,0,33
93,19,Female,2nd Year,8.3,3.8,3.1,5,36
94,23,Male,4th Year,6.4,6.1,1,3,5
95,23,Female,3rd Year,8.5,0.5,2.9,3,6
96,23,Other,2nd Year,8,1.8,2.1,0,95
97,19,Other,4th Year,6.1,11.8,3.4,1,95
98,21,Male,2nd Year,4.1,11.6,1.3,3,116
99,23,Male,1st Year,5.3,0.1,2.8,4,24
100,22,Male,2nd Year,6.7,11.4,2.4,3,32
101,24,Female,2nd Year,7.2,7.7,2.9,4,54
102,19,Female,3rd Year,5.3,10.4,1.2,0,57
103,19,Male,4th Year,4.7,5.5,2.7,0,6
104,21,Other,3rd Year,8.2,6.2,2.7,3,115
105,19,Female,3rd Year,8.9,5.9,2.7,2,56
106,19,Female,3rd Year,6.6,8,2.8,4,11
107,23,Female,3rd Year,4.9,1.7,3,1,15
108,21,Male,3rd Year,5.4,0.4,3.4,3,79
109,23,Male,2nd Year,4.1,3.7,1.8,1,42
110,24,Male,3rd Year,8.6,8.5,3.5,3,116
111,25,Male,3rd Year,4.6,2.4,2.5,2,99
112,24,Male,4th Year,6.9,8.1,1.2,2,76
113,25,Other,1st Year,5.4,11.6,1.2,2,6
114,23,Other,2nd Year,6.8,1.1,2,5,99
115,24,Male,2nd Year,7.3,8.1,3.4,2,110
116,21,Female,2nd Year,8.1,5.3,3.1,0,50
117,18,Male,3rd Year,5,10.4,3.4,0,72
118,23,Other,3rd Year,4.1,2.1,2.6,5,31
119,25,Other,3rd Year,4.7,8.3,2.3,4,74
120,22,Female,4th Year,8.5,10.1,1.4,1,7
121,25,Other,1st Year,8.4,11.3,2,3,96
122,22,Male,3rd Year,7,8.2,2.3,3,86
123,19,Female,1st Year,7,6,1.3,5,88
124,24,Male,4th Year,7.3,7.4,1.7,0,119
125,22,Male,2nd Year,4.9,10.4,2.8,3,71
126,25,Female,3rd Year,8.6,6.8,3.2,0,44
127,19,Male,1st Year,6.1,0.4,4,4,85
128,18,Other,1st Year,5.9,11.2,3.8,1,58
129,21,Male,3rd Year,6.6,8.3,2.9,4,3
130,21,Female,2nd Year,4.2,8.1,2.3,5,103
131,21,Female,2nd Year,4.8,2.6,2.9,2,66
132,22,Female,2nd Year,7.7,7.9,3.4,2,28
133,18,Male,4th Year,4.4,4.7,1.4,2,104
134,22,Female,1st Year,7,7.8,2.2,4,28
135,24,Female,1st Year,5.2,1.3,3.5,3,97
136,22,Male,1st Year,5.9,7.9,2.2,1,97
137,18,Other,4th Year,5.4,12,2.7,2,27
138,18,Male,1st Year,5.8,0.6,2.8,5,76
139,24,Female,4th Year,7.6,11.7,1.6,5,78
140,18,Female,2nd Year,5.5,4.9,2.1,2,86
141,25,Male,3rd Year,6.8,10.4,2,2,43
142,18,Other,1st Year,6.4,9.4,1.1,1,89
143,21,Female,1st Year,7.3,6.8,1.1,2,3
144,25,Female,2nd Year,8.7,8.9,3.5,1,89
145,25,Female,3rd Year,7.7,10.5,1.8,5,103
146,24,Male,4th Year,5.1,4.8,2.6,2,8
147,20,Female,3rd Year,4.2,3.9,1.9,4,118
148,20,Other,2nd Year,5.3,8,3.8,4,4
149,18,Female,2nd Year,7,9.7,1.8,5,55
150,25,Female,3rd Year,4.3,9.1,2.3,1,95
151,20,Other,4th Year,6.5,9.6,3.6,4,83
152,20,Female,4th Year,7,5.2,3.5,1,49
153,18,Male,1st Year,5.7,9.8,1.6,4,74
154,20,Male,4th Year,7.9,1.4,3.4,4,14
155,22,Male,3rd Year,4.5,6.5,2.4,1,31
156,19,Other,2nd Year,4.4,0.1,2.4,3,27
157,24,Female,1st Year,7.6,3.9,1.4,4,21
158,19,Male,1st Year,6.5,4.4,1.2,2,104
159,18,Other,2nd Year,7.4,4.8,3.2,5,16
160,21,Female,4th Year,6.2,8.3,2.5,3,58
161,24,Other,2nd Year,5.2,4.7,2.3,1,89
162,18,Male,4th Year,8.1,5.4,3.2,3,107
163,25,Male,2nd Year,8,2.9,3.3,0,70
164,21,Male,3rd Year,7.5,4.5,1.5,0,105
165,19,Other,4th Year,5.4,2.7,2.8,4,56
166,18,Other,3rd Year,7,0.9,1.4,4,25
167,25,Male,1st Year,5.8,7.2,3.3,2,24
168,24,Other,2nd Year,4.5,8,3,5,9
169,24,Male,1st Year,8.6,7.4,3.9,3,44
170,23,Male,1st Year,4.7,5.6,1.2,0,82
171,25,Female,1st Year,8.8,4.6,1.2,4,10
172,22,Other,1st Year,6.2,10.4,1.8,5,76
173,20,Male,2nd Year,4.9,6.2,1.8,3,52
174,21,Male,1st Year,6.7,5.8,1.7,4,71
175,25,Other,2nd Year,8.4,0.3,3.7,4,103
176,23,Female,2nd Year,7.7,4.1,1.7,0,67
177,20,Female,3rd Year,8,4.6,1.8,0,110
178,20,Male,4th Year,7.3,4.8,3.3,4,94
179,18,Other,4th Year,7.5,7,2.3,1,27
180,20,Female,2nd Year,8.2,6.4,3.3,4,74
181,22,Other,3rd Year,5.2,7.3,1.2,5,106
182,24,Other,2nd Year,6.4,9.2,2.5,4,64
183,23,Male,2nd Year,5.1,9.8,1.1,2,48
184,20,Female,2nd Year,8.9,8.6,1.2,2,46
185,18,Male,3rd Year,8.7,11.5,3.7,2,51
186,22,Female,4th Year,4.2,0.2,1.4,1,101
187,19,Female,3rd Year,7.5,2.3,2.6,1,87
188,24,Female,1st Year,8.6,0.1,2.2,4,53
189,24,Female,3rd Year,4.9,7.8,2,2,59
190,23,Female,3rd Year,6.8,10.8,3.7,1,56
191,24,Other,3rd Year,8.6,2.9,1.1,0,46
192,20,Male,3rd Year,4.2,11.1,3,4,30
193,18,Other,4th Year,7.5,0.7,3.9,5,104
194,24,Female,1st Year,5.5,11.2,2.7,3,45
195,24,Male,4th Year,8.6,4.2,3.8,4,113
196,19,Female,4th Year,8.9,1.2,1.2,3,25
197,19,Male,3rd Year,8.7,5.8,2.3,2,112
198,21,Other,2nd Year,6.4,3.1,1.8,3,113
199,22,Male,2nd Year,8.3,3.4,3.2,2,4
200,20,Male,4th Year,8.2,3.7,3.9,0,83
201,24,Male,4th Year,5.6,9.6,1.8,3,51
202,25,Male,3rd Year,8.1,6.5,3,4,104
203,24,Male,4th Year,4.2,3.7,1.6,2,74
204,18,Female,3rd Year,7,7.3,2.7,4,119
205,21,Male,2nd Year,5.2,8.6,2.4,1,53
206,22,Male,2nd Year,4.6,3.3,3.9,2,32
207,25,Other,1st Year,4.4,5,2.8,3,49
208,21,Male,2nd Year,7.5,1.5,2,2,37
209,23,Other,4th Year,5.7,2.2,1.3,4,26
210,22,Female,2nd Year,7.6,8.2,1.5,0,97
211,24,Male,3rd Year,4.3,2.2,1.7,2,14
212,24,Other,2nd Year,5.6,6.3,1.8,3,95
213,22,Other,1st Year,6.7,8.5,3.6,1,60
214,24,Female,2nd Year,8,1.3,2.7,5,20
215,20,Male,3rd Year,5.6,6.8,2.6,0,45
216,22,Male,3rd Year,7.1,3.1,1.3,1,68
217,21,Other,4th Year,8.4,11.6,3.6,2,5
218,22,Male,2nd Year,7.1,5.8,3.2,4,37
219,25,Other,3rd Year,5.2,9.7,1.2,4,61
220,24,Male,1st Year,4.1,6.6,3.1,3,85
221,20,Other,4th Year,8.4,0.5,2.6,4,61
222,20,Male,1st Year,4.1,7.6,1.2,0,81
223,23,Female,2nd Year,8.4,11.4,2.4,4,77
224,21,Male,2nd Year,6.6,7.2,2.5,3,73
225,19,Male,2nd Year,8.7,9.8,1.5,5,45
226,19,Female,4th Year,8,10.6,3.8,2,12
227,22,Male,3rd Year,9,2.7,3.5,2,94
228,23,Female,4th Year,5.8,2.5,3,4,93
229,18,Male,1st Year,7.8,7.3,2.4,1,2
230,22,Other,4th Year,6,4.9,2.2,2,93
231,23,Other,1st Year,6.4,10.1,3,5,5
232,21,Male,4th Year,7.1,10.8,2.6,4,92
233,21,Male,3rd Year,8.4,4.2,1.2,3,7
234,21,Male,1st Year,8.9,2.8,2.5,5,43
235,21,Other,2nd Year,7.8,9.4,3.4,4,108
236,21,Male,2nd Year,6.1,3.3,2.4,5,106
237,23,Other,4th Year,6.1,9.9,1.2,2,107
238,23,Female,2nd Year,7.7,5.1,3.4,3,32
239,20,Other,1st Year,5.2,8,1.6,4,80
240,25,Other,2nd Year,4.6,1.1,1.8,0,111
241,19,Female,3rd Year,5.8,7.5,1.5,3,74
242,24,Other,3rd Year,5.4,5.4,2,0,76
243,21,Male,4th Year,5.5,7,3.3,5,49
244,18,Male,1st Year,5.2,2,2.6,1,10
245,24,Other,3rd Year,4.2,8.8,1.6,3,94
246,23,Male,3rd Year,4.1,10.4,3.6,5,27
247,18,Other,1st Year,8.9,2.6,3.6,0,107
248,18,Male,2nd Year,6.1,1.1,3.6,2,69
249,18,Male,2nd Year,5.9,0.3,1.7,2,40
250,20,Other,4th Year,7.4,7.7,2.4,1,15
251,23,Male,2nd Year,5.1,7.3,4,3,67
252,18,Other,1st Year,8.7,6.6,3.3,3,98
253,21,Male,3rd Year,7.9,2.8,1.1,3,47
254,22,Male,2nd Year,4.4,4.7,1.2,5,55
255,18,Female,4th Year,6.1,7.1,2.4,1,63
256,20,Female,2nd Year,8.4,6,3.7,3,58
257,24,Other,1st Year,8.7,11.9,2.6,5,89
258,23,Female,4th Year,6.3,1.6,2.5,2,61
259,25,Other,2nd Year,7.1,8.3,1.3,0,120
260,20,Female,4th Year,4.8,4.9,3,5,75
261,18,Male,1st Year,9,5.1,3.5,2,10
262,23,Other,3rd Year,5.2,8.6,2.1,2,100
263,22,Other,1st Year,8.7,8.3,3.3,0,88
264,18,Male,1st Year,7.2,11.9,3.9,2,17
265,20,Other,1st Year,7,1.5,1.6,1,18
266,19,Other,1st Year,6.6,1.2,2.6,0,86
267,21,Female,3rd Year,5.2,8.7,1.9,2,54
268,25,Other,3rd Year,4.9,6.9,3.4,4,101
269,24,Male,4th Year,5.1,3.3,2.7,5,117
270,20,Female,2nd Year,4.9,1,2.9,2,81
271,23,Female,3rd Year,7.9,1,3.4,1,25
272,25,Male,3rd Year,5.8,10.7,2.2,3,5
273,25,Male,2nd Year,4.3,2.3,3.7,2,3
274,25,Female,3rd Year,8.8,3.9,2.6,3,107
275,18,Other,1st Year,8.4,2.7,1.5,4,114
276,21,Female,1st Year,8.6,4.3,3.1,2,28
277,18,Male,2nd Year,9,0.8,3.4,0,58
278,23,Female,4th Year,4.9,6.2,2,3,97
279,18,Male,4th Year,6,0.8,3.6,4,16
280,19,Female,2nd Year,7.8,9.6,3.7,0,106
281,21,Other,2nd Year,7.5,2.8,1.8,0,42
282,21,Female,1st Year,4.8,6.5,4,0,116
283,23,Female,4th Year,8.1,10.6,1.4,0,79
284,24,Male,3rd Year,5.1,7.8,1.6,2,65
285,19,Male,1st Year,5.1,6.4,1.6,5,33
286,20,Male,2nd Year,6.7,3.9,3.7,2,118
287,18,Female,4th Year,7,4,3,2,7
288,22,Other,3rd Year,6.9,8,1.5,4,12
289,18,Male,3rd Year,4.5,11.9,2.3,4,105
290,25,Male,1st Year,8.4,7.9,2.8,5,7
291,18,Female,4th Year,5.3,6.7,1.3,4,93
292,20,Male,4th Year,4.6,8.8,3.6,1,95
293,18,Other,2nd Year,8.4,5.6,3.4,5,99
294,19,Other,4th Year,8.8,0.7,2.5,4,110
295,19,Male,4th Year,8.3,6.7,3.9,5,93
296,21,Male,1st Year,8,11.5,2.3,2,64
297,23,Female,4th Year,7.3,2.1,4,2,42
298,24,Other,3rd Year,6.8,8.3,3,5,38
299,22,Other,1st Year,4.4,2.4,2.9,1,80
300,25,Male,1st Year,6,6.4,1.5,1,58
301,18,Female,2nd Year,5.9,1.2,3.6,5,83
302,18,Other,4th Year,5.3,5.4,2.3,4,87
303,20,Other,2nd Year,7.6,9.1,1.5,3,113
304,23,Female,3rd Year,6.5,4.2,1,1,85
305,19,Female,1st Year,4.4,8,2.7,0,92
306,22,Other,1st Year,5.1,9.5,2.6,2,85
307,21,Other,1st Year,7.4,11.1,3.2,5,43
308,19,Female,3rd Year,4.4,2.8,3.7,0,8
309,25,Other,3rd Year,8.3,4.8,1.2,5,36
310,23,Male,2nd Year,6.5,1.8,3.2,2,73
311,25,Male,2nd Year,6.4,11.9,1.6,2,35
312,24,Female,2nd Year,7,11.1,3.6,1,100
313,21,Female,4th Year,8.1,6.5,3.5,1,91
314,24,Female,1st Year,5.7,10.1,2.6,0,27
315,20,Male,1st Year,7.4,6.3,3.1,5,41
316,25,Other,2nd Year,6.8,7.5,1.9,2,42
317,20,Male,1st Year,5.3,1.1,2.4,0,84
318,18,Other,2nd Year,8.4,9.1,3.5,3,87
319,24,Male,4th Year,8,1.5,2.4,0,41
320,23,Other,4th Year,7.3,9.9,2.1,4,103
321,25,Male,3rd Year,8.3,9.4,2.5,0,65
322,22,Female,4th Year,8.3,8.5,3.5,4,54
323,21,Male,2nd Year,7.5,0.4,2,4,71
324,19,Other,4th Year,8.2,3.6,1.5,4,47
325,23,Male,3rd Year,7.5,3.2,3.1,3,90
326,23,Male,1st Year,7.4,4.3,3.5,0,21
327,20,Male,2nd Year,7.1,1.1,1.3,0,100
328,24,Female,1st Year,7.8,11.2,1.7,3,26
329,25,Male,3rd Year,4.8,6.6,1.4,2,120
330,25,Female,3rd Year,8.4,3.7,2,1,92
331,18,Female,3rd Year,8.4,4.8,2.4,0,66
332,18,Male,1st Year,4.1,5.4,3.2,1,107
333,21,Male,1st Year,8.1,7.2,3,5,12
334,20,Male,1st Year,4.6,6.2,2.9,5,44
335,23,Other,1st Year,5.7,11,2.1,3,9
336,25,Male,3rd Year,7.7,6,3.5,5,99
337,22,Female,3rd Year,4.8,11.9,2.4,5,8
338,20,Male,2nd Year,8.1,10.2,3.9,2,53
339,21,Other,2nd Year,8.2,2.5,2.9,2,119
340,21,Male,1st Year,6.5,11.2,1.4,2,118
341,20,Other,4th Year,4,1.4,3,5,26
342,21,Other,4th Year,5.4,9.8,2,3,33
343,20,Male,3rd Year,7.1,4.6,3.1,4,114
344,19,Female,3rd Year,8.9,10.5,1.2,4,0
345,20,Other,3rd Year,7.2,10.4,1.5,1,31
346,24,Male,2nd Year,5.3,9.7,3.6,4,88
347,20,Male,2nd Year,7.2,9.5,1.7,4,92
348,21,Female,3rd Year,6.7,3.7,3.5,2,70
349,25,Other,3rd Year,7.9,1,1.8,2,112
350,24,Other,3rd Year,4.5,4.8,2.9,5,66
351,21,Male,4th Year,7.8,2.1,3.1,1,83
352,18,Male,2nd Year,6.7,8.3,2.5,0,19
353,18,Female,4th Year,8.8,4.2,1.9,1,116
354,25,Female,4th Year,5.7,11.7,1.6,1,93
355,25,Other,3rd Year,7.2,7.7,1.1,3,34
356,24,Other,3rd Year,8.7,9.9,1.9,5,98
357,19,Male,1st Year,4.5,1.6,3,3,112
358,25,Other,1st Year,8.7,10.3,3.8,1,102
359,18,Female,4th Year,7.4,11.1,3.6,1,90
360,20,Female,2nd Year,4.3,5.8,3.3,1,89
361,21,Male,3rd Year,5.5,7.3,3.4,4,77
362,18,Female,3rd Year,7.5,9.2,3,3,16
363,18,Female,4th Year,4.3,2.1,1.8,1,17
364,19,Female,1st Year,6.9,6,3.7,2,44
365,24,Female,2nd Year,5.7,4.8,3,5,115
366,24,Male,1st Year,7.1,1.8,2.7,5,92
367,23,Male,1st Year,4.2,4.4,1.3,2,83
368,19,Other,1st Year,8.4,0.8,2.3,5,52
369,20,Female,1st Year,8.9,0.3,2.4,4,90
370,24,Other,3rd Year,8.8,1.6,3.6,4,81
371,21,Male,3rd Year,7.7,11.6,2.6,0,67
372,25,Male,1st Year,4.7,6.6,2.1,0,64
373,19,Male,2nd Year,7.8,11.6,3.9,0,113
374,25,Male,4th Year,4.1,5.2,1.3,5,0
375,18,Male,2nd Year,4.1,3.7,2.3,4,57
376,21,Male,2nd Year,5.6,6.1,1.1,4,25
377,21,Male,2nd Year,6.4,5.3,3.2,4,108
378,18,Female,1st Year,7.9,1.3,3.8,2,19
379,19,Other,3rd Year,7.4,7.7,1.8,4,115
380,18,Male,2nd Year,6.2,2.6,3.6,2,86
381,25,Female,1st Year,5.4,7.4,1.9,0,9
382,23,Female,2nd Year,9,7.8,3.7,0,58
383,21,Other,2nd Year,6.1,1.8,3.3,5,74
384,22,Male,1st Year,6.3,0.7,3.4,0,40
385,22,Other,3rd Year,4.8,9.4,1.1,5,104
386,25,Male,3rd Year,8,5.5,3.9,1,4
387,20,Female,4th Year,7.5,0.7,3.2,1,64
388,24,Female,1st Year,5.1,11.9,1.9,3,16
389,18,Female,4th Year,4.4,0.7,3.5,5,21
390,18,Female,4th Year,7.4,8.3,1.8,3,97
391,20,Other,4th Year,7.3,11.8,3.6,3,119
392,20,Male,3rd Year,5.4,2.9,1.3,1,108
393,25,Male,1st Year,8.8,1.7,3.1,5,40
394,25,Other,4th Year,4.8,1.5,2.6,1,92
395,20,Male,1st Year,6.2,3.6,1.3,3,67
396,21,Female,1st Year,8.7,1.2,1.7,5,68
397,25,Male,3rd Year,6.1,8.3,1,3,10
398,23,Female,4th Year,7.2,0.7,2.4,4,55
399,25,Other,4th Year,6,6.1,1.9,5,50
400,18,Male,1st Year,5.4,12,2.8,5,20
401,25,Other,2nd Year,8.9,9.8,1.9,3,98
402,21,Male,3rd Year,6,7.4,1.9,4,75
403,20,Female,3rd Year,8.5,3.7,3.2,2,25
404,18,Other,3rd Year,5.1,7.5,1.1,1,114
405,25,Male,3rd Year,5.1,6.3,3.7,3,18
406,21,Female,4th Year,4.2,5.1,3.6,5,108
407,23,Other,4th Year,7.3,1.6,3,1,59
408,25,Other,2nd Year,5.8,10.6,2.8,1,70
409,21,Male,3rd Year,8.3,5.4,3.7,1,46
410,23,Male,3rd Year,6.4,2.3,1.6,2,118
411,20,Male,1st Year,8.8,4.4,1.2,0,70
412,25,Female,4th Year,4.9,5,1.7,3,25
413,23,Male,3rd Year,8.3,9.9,3.4,0,39
414,18,Other,2nd Year,7.9,8.8,1.1,0,4
415,20,Other,2nd Year,7.9,9.2,2.7,0,20
416,18,Male,4th Year,8.2,0.1,4,1,77
417,22,Male,2nd Year,7.8,5,3.6,4,3
418,19,Other,2nd Year,7.1,5.8,2.6,1,22
419,25,Female,4th Year,4.7,0.2,1.2,1,105
420,23,Male,3rd Year,4.2,3.1,3.5,5,83
421,19,Male,3rd Year,8.6,9.1,2.8,5,14
422,19,Other,2nd Year,7.1,1.6,1.3,0,113
423,23,Male,2nd Year,8,6.4,1.3,1,115
424,20,Female,3rd Year,6.4,2.6,3.7,0,108
425,25,Other,4th Year,4.6,0.1,3,5,92
426,22,Male,2nd Year,4.6,2.9,3.5,4,7
427,18,Other,1st Year,7.4,11.7,3.6,3,40
428,21,Male,4th Year,6.2,9.6,2.7,0,111
429,18,Male,2nd Year,5,11.5,2.6,4,18
430,21,Male,2nd Year,6.5,5.9,2.3,3,111
431,18,Female,1st Year,4.3,1.3,2,2,102
432,23,Female,1st Year,6.9,6.6,2.3,0,45
433,22,Other,3rd Year,5.3,5.5,3.3,0,27
434,25,Male,4th Year,8,10.1,2.8,2,109
435,21,Male,4th Year,5.6,1.2,3.7,2,120
436,25,Female,3rd Year,6.3,5.9,2.3,0,90
437,25,Male,4th Year,4.1,1.8,2.8,2,67
438,25,Female,4th Year,4.4,3.9,2.9,1,14
439,24,Male,4th Year,6,8.8,2.8,3,98
440,20,Other,4th Year,6.4,5.7,3.1,3,36
441,18,Male,4th Year,7,4.5,1.7,3,0
442,25,Male,1st Year,5.5,4.7,2.5,1,66
443,18,Female,4th Year,7.5,5.5,1.3,2,110
444,25,Male,1st Year,8.3,9.4,2.2,4,23
445,21,Male,4th Year,7.9,10.7,2.5,2,26
446,20,Female,3rd Year,4.2,11.5,3,0,39
447,20,Other,2nd Year,6.4,9.4,3.9,5,62
448,23,Other,1st Year,4.5,3.8,2.8,3,60
449,24,Female,4th Year,5.2,8.3,3.2,2,35
450,23,Female,3rd Year,8.9,5.3,2.5,4,97
451,23,Female,2nd Year,4.7,3.1,2.9,0,92
452,23,Female,1st Year,6.5,10.1,1.2,1,23
453,23,Female,2nd Year,7.1,0.5,1.8,1,23
454,23,Other,3rd Year,7.5,10.8,2.1,4,105
455,22,Other,1st Year,6.8,5.5,2.4,0,3
456,20,Female,2nd Year,4,7.6,1.1,3,66
457,23,Male,4th Year,5.6,7.9,1.4,2,33
458,25,Female,1st Year,6.6,10.7,1.8,0,56
459,20,Male,2nd Year,4.4,7.6,3.9,1,48
460,20,Female,3rd Year,5.8,7.4,2,4,86
461,19,Female,3rd Year,4.2,0.8,2.4,4,52
462,22,Other,1st Year,4.4,6.2,1.6,2,119
463,23,Male,2nd Year,6,1.8,2.8,4,115
464,18,Male,1st Year,4.7,8.8,1.8,4,22
465,21,Other,1st Year,6.8,6.1,1.6,0,108
466,24,Other,2nd Year,7.4,8.2,2.5,3,68
467,25,Other,2nd Year,8,0.5,1,2,94
468,18,Other,4th Year,5,1,1,0,52
469,22,Male,2nd Year,4.8,8.6,1.7,3,61
470,21,Male,3rd Year,4.5,0.9,1.1,0,40
471,22,Female,1st Year,7.2,0.9,1.3,5,56
472,25,Female,1st Year,7.5,0.1,2,0,120
473,20,Other,3rd Year,4.2,11.5,3.4,4,59
474,21,Other,2nd Year,8.7,8.9,2.7,3,53
475,20,Other,3rd Year,4.3,4.2,2.5,2,69
476,25,Female,3rd Year,6.7,3.6,1.9,2,100
477,18,Female,4th Year,7.5,4.2,3.8,3,56
478,25,Female,3rd Year,8.4,9.3,2.2,4,9
479,18,Female,1st Year,7.6,7.9,1.3,1,39
480,21,Female,3rd Year,8,2.2,2.9,0,6
481,21,Female,1st Year,5.7,2.1,1.3,4,102
482,23,Female,1st Year,8.1,1.2,2,5,37
483,22,Other,1st Year,4.4,7.9,2.5,3,84
484,23,Other,2nd Year,8.5,9.2,3.6,0,60
485,22,Other,4th Year,6.7,3.2,2.5,2,83
486,23,Other,1st Year,8.1,0.3,3.1,1,2
487,20,Female,1st Year,6.3,1,4,5,50
488,21,Male,2nd Year,7.2,11.6,1.4,2,85
489,18,Female,1st Year,6.6,3.5,1.8,3,46
490,22,Male,3rd Year,7.7,9.2,2.2,0,67
491,25,Other,3rd Year,4.4,7.5,2.3,3,91
492,22,Female,4th Year,4.3,4.6,2.2,0,75
493,18,Other,1st Year,5.2,2.5,3.7,4,37
494,23,Female,2nd Year,4.8,1.5,3.1,1,114
495,22,Other,3rd Year,8.4,7.4,2.8,4,35
496,24,Male,2nd Year,5.1,9.3,1.9,4,110
